id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
70820,City View - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43994,-2.59173,Private room,36,1,160,2019/9/12,1.8,5,0,7,
117122,City Centre-Waterside Retreat,591555,Marcus,,Clifton,51.45051,-2.61054,Private room,96,1,152,2019/6/9,2.45,1,358,9,
176306,The White Room -  Central Bristol Art House Garden,708175,Orla,,Bedminster,51.44101,-2.60121,Private room,29,21,39,2013/1/21,0.36,1,0,0,
307634,Peaceful Safe Home & Clear Space 'The Lilac Room',1582810,Wendy,,Easton,51.46641,-2.55533,Private room,30,3,22,2021/10/6,0.41,2,154,1,
322906,HUGE Room CENTRAL location House,1156132,Sue And Toby,,Ashley,51.46668,-2.58274,Private room,69,2,80,2015/7/20,0.94,2,71,0,
341227,Listed Georgian house in the heart of Bristol.,237360,Samantha,,Ashley,51.46661,-2.58709,Entire home/apt,446,2,95,2019/3/17,1.51,1,339,17,
390781,"Cosy large room nr TV studios, Paintworks & stores",1954565,Fiona,,Brislington West,51.44429,-2.55777,Private room,28,2,43,2021/8/5,0.37,2,0,10,
399681,Historic Trym House - five star!,1941316,Kevin & Lesley,,Westbury-on-Trym & Henleaze,51.49508,-2.61715,Private room,80,2,75,2016/6/6,1.04,1,155,15,
407485,Bristol Luxury Garden Apartment,2029719,Ingrid,,Ashley,51.46941,-2.58166,Entire home/apt,93,2,268,2020/4/14,2.66,1,307,13,
421205,The dog lovers haven,2094659,Lis,,Ashley,51.46547,-2.58458,Private room,26,1,168,2019/4/15,2.06,1,276,16,
422956,Modern inner city 3 bed eco house,2103297,Lois,,Redland,51.47331,-2.60598,Entire home/apt,180,2,352,2021/8/7,4.93,2,285,29,
554813,Central Double Room With Your Own Bathroom,2727252,Rich & Ray,,Lawrence Hill,51.45591,-2.57803,Private room,43,1,190,2019/12/30,1.74,1,113,0,
753655,Edwardian house in central Bristol,3647954,Cath,,Southville,51.44553,-2.60413,Private room,54,2,272,2018/10/27,3.22,3,300,3,
758894,"Clifton Village, superfast internet, car permits",3996407,Joanna,,Clifton,51.45524,-2.62168,Entire home/apt,136,3,414,2020/8/9,5.47,1,329,29,
868888,Large double room with breakfast,4577089,Rohan,,Eastville,51.47305,-2.54617,Private room,30,7,9,2018/3/29,0.21,2,266,0,
870076,Cosy Single Bedroom in Southville,3647954,Cath,,Southville,51.44593,-2.60309,Private room,39,1,159,2019/6/2,1.59,3,297,0,
942226,BnB in Barn with 2 ensuite Bedrooms,2103297,Lois,,Redland,51.47513,-2.60474,Entire home/apt,120,2,270,2019/9/2,2.71,2,281,38,
975170,Double room in quiet LGBTQIA+ friendly home,5332833,Ashley,,Eastville,51.48256,-2.5546,Private room,34,3,98,2016/7/24,1.07,2,0,1,
979236,large ensuite with seating area,1156132,Sue And Toby,,Ashley,51.46665,-2.58284,Private room,69,1,166,2017/11/26,2.16,2,61,0,
995235,Clifton Towers Bristol B and B,5466703,Marie,,Clifton,51.45308,-2.61544,Private room,53,1,304,2021/6/10,6.76,1,312,39,
1033484,Tranquil Room near City Centre,5687726,Joanne,,Ashley,51.46307,-2.57982,Private room,37,2,317,2021/8/8,3.59,2,44,8,
1096853,"Lovely quiet, clean, Double Bed+Single, with tv",487598,,,Easton,51.46907,-2.56077,Private room,36,1,428,2018/7/19,4.37,3,46,30,
1096947,"Lovely quiet, clean, cosy room, Double Bed, tv",487598,,,Easton,51.46821,-2.56019,Private room,35,1,384,2020/3/20,3.89,3,46,32,
1166104,Private room in ï¿½ï¿½ï¿½Garden Square' Georgian tow,6386989,Anne + Iain,,Clifton,51.45169,-2.62087,Private room,35,14,74,2017/8/19,0.73,2,84,3,
1180148,"Large, comfortable, elegant and quiet room",6456324,Gavin,,Knowle,51.43859,-2.56536,Private room,50,2,22,2021/8/23,0.21,2,296,8,
1260621,Quiet Double With Ensuite In An Old Jeweller Shop,6865698,Kirsty,,Ashley,51.46465,-2.58947,Private room,43,2,226,2019/8/26,3.08,2,70,8,
1329265,"Excellent central location, perfect for visitors",7144675,Stephanie,,Lawrence Hill,51.45952,-2.57379,Private room,40,5,204,2019/12/2,2.34,1,109,8,
1337681,Stylish Family Home in Amazing Location,7254449,Tamsin,,Stoke Bishop,51.47366,-2.63905,Entire home/apt,600,7,17,2017/12/28,0.17,2,321,2,
1457693,Cosy single room with breakfast,4577089,Rohan,,Eastville,51.47371,-2.54602,Private room,25,20,15,2020/11/15,0.2,2,328,1,
1524396,Woodburner - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43993,-2.59185,Private room,37,1,147,2019/5/22,1.96,5,1,1,
1536968,Blanket Box - Sarah's large Room,360195,Sarah,,Windmill Hill,51.44049,-2.5922,Private room,45,2,108,2019/4/15,1.74,5,0,0,
